"status","key","sheetRowId","dbRowId","country","routeFrom","routeTo","vehicleType","pax","sheetPrice","dbPrice","sheetCurrency","dbCurrency"
"price_set_mismatch","denmark	aarhus airport aar	aarhus	standard class car","188","cmm3d3nz50056k8ppyu2485da","Denmark","Aarhus airport (AAR)","Aarhus","Standard class car","3","93.00 EUR","120.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	asian side central kavacik atasehir umraniye kadikoy uskudar	istanbul sabiha gokcen airport saw	standard minivan 6 pax","4162","cmoto8ke500079ca0hc0h6gs3","Turkey","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar)","Istanbul Sabiha Gokcen Airport (SAW)","Standard minivan 6 pax","6","64.00 EUR","64.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	asian side outskirts maltepe kartal kurtkoy sabiha gokcen airport	istanbul airport ist	standard minibus 13pax","4163","cmoto8kef00099ca08w71ej3n","Turkey","Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport)","Istanbul Airport (IST)","Standard Minibus 13pax","13","100.00 EUR","100.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	asian side outskirts maltepe kartal kurtkoy sabiha gokcen airport	istanbul airport ist	standard minivan 6 pax","4164","cmoto8keo000b9ca07o6065se","Turkey","Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport)","Istanbul Airport (IST)","Standard minivan 6 pax","6","88.00 EUR","88.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	asian side outskirts maltepe kartal kurtkoy sabiha gokcen airport	istanbul sabiha gokcen airport saw	standard minibus 13pax","4165","cmoto8key000d9ca0c7nhecqv","Turkey","Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport)","Istanbul Sabiha Gokcen Airport (SAW)","Standard Minibus 13pax","13","91.00 EUR","91.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	asian side outskirts maltepe kartal kurtkoy sabiha gokcen airport	istanbul sabiha gokcen airport saw	standard minivan 6 pax","4166","cmoto8kf7000f9ca0cdipj8pg","Turkey","Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport)","Istanbul Sabiha Gokcen Airport (SAW)","Standard minivan 6 pax","6","72.00 EUR","72.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	bursa	anadolu transfer	standard minibus 13pax","4167","cmoto8kfe000h9ca084jx7afd","Turkey","Bursa","Anadolu transfer","Standard Minibus 13pax","13","460.00 EUR","460.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	bursa	anadolu transfer	standard minivan 6 pax","4168","cmoto8kfj000j9ca0e1l0t6a3","Turkey","Bursa","Anadolu transfer","Standard minivan 6 pax","6","318.00 EUR","318.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	asian side central kavacik atasehir umraniye kadikoy uskudar	standard minibus 13pax","4169","cmoto8kfq000l9ca04qv3w352","Turkey","European Side","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar)","Standard Minibus 13pax","13","69.00 EUR","69.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	asian side central kavacik atasehir umraniye kadikoy uskudar	standard minivan 6 pax","4170","cmoto8kfw000n9ca0p1i6gnkr","Turkey","European Side","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar)","Standard minivan 6 pax","6","56.00 EUR","56.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	cerkezkoy daily trip	standard minibus 13pax","4171","cmoto8kg2000p9ca06lnjt9e4","Turkey","European Side","Cerkezkoy daily trip","Standard Minibus 13pax","13","460.00 EUR","460.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	cerkezkoy daily trip	standard minivan 6 pax","4172","cmoto8kg8000r9ca0118dizot","Turkey","European Side","Cerkezkoy daily trip","Standard minivan 6 pax","6","381.00 EUR","381.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	european side central levent besiktas sisli maslak taksim ortakoy	standard minibus 13pax","4173","cmoto8kgf000t9ca08x68eo4p","Turkey","European Side","European Side Central (Levent, Besiktas, Sisli, Maslak, Taksim, Ortakoy)","Standard Minibus 13pax","13","69.00 EUR","69.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	european side central levent besiktas sisli maslak taksim ortakoy	standard minivan 6 pax","4174","cmoto8kgm000v9ca05jl9bsfs","Turkey","European Side","European Side Central (Levent, Besiktas, Sisli, Maslak, Taksim, Ortakoy)","Standard minivan 6 pax","6","56.00 EUR","56.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	night tour european side to asian side restaurant round trip	standard minibus 13pax","4175","cmoto8kgs000x9ca08nwtok03","Turkey","European Side","Night tour European Side to Asian Side restaurant round trip","Standard Minibus 13pax","13","224.00 EUR","224.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	night tour european side to asian side restaurant round trip	standard minivan 6 pax","4176","cmoto8kgx000z9ca05rnraw4g","Turkey","European Side","Night tour European Side to Asian Side restaurant round trip","Standard minivan 6 pax","6","175.00 EUR","175.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	night tour within european side restaurant round trip	standard minibus 13pax","4177","cmoto8kh300119ca00ygv08s9","Turkey","European Side","Night tour within European Side restaurant round trip","Standard Minibus 13pax","13","230.00 EUR","230.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side	night tour within european side restaurant round trip	standard minivan 6 pax","4178","cmoto8kh900139ca0dglblwhq","Turkey","European Side","Night tour within European Side restaurant round trip","Standard minivan 6 pax","6","159.00 EUR","159.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side central levent besiktas maslak taksim ortakoy	istanbul airport ist	standard minibus 13pax","4179","cmoto8khh00159ca0i2r4i09q","Turkey","European Side Central (Levent, Besiktas, Maslak, Taksim, Ortakoy)","Istanbul Airport (IST)","Standard Minibus 13pax","13","83.00 EUR","83.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side central levent besiktas maslak taksim ortakoy	istanbul airport ist	standard minivan 6 pax","4180","cmoto8khq00179ca0s1kdl5sw","Turkey","European Side Central (Levent, Besiktas, Maslak, Taksim, Ortakoy)","Istanbul Airport (IST)","Standard minivan 6 pax","6","64.00 EUR","64.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side central levent besiktas maslak taksim ortakoy	istanbul sabiha gokcen airport saw	standard minibus 13pax","4181","cmoto8khz00199ca0ifkwimee","Turkey","European Side Central (Levent, Besiktas, Maslak, Taksim, Ortakoy)","Istanbul Sabiha Gokcen Airport (SAW)","Standard Minibus 13pax","13","100.00 EUR","100.00 EUR","EUR","EUR"
