"name","count","countries","cities","roles","samples"
"Linköping","1","Sweden","Linköping","to","Linköping Airport (LPI) -> Linköping"
"Linköping Airport (LPI)","1","Sweden","Linköping","from","Linköping Airport (LPI) -> Linköping"
"Liopetri","1","Cyprus","Liopetri","to","Larnaca Airport (LCA) -> Liopetri"
"Lipa-Noi","7","Thailand","Lipa-Noi","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Lipa-Noi || Koh Samui - Mae Nam Port (Surat Thani ) -> Lipa-Noi || Samui International Airport (USM) -> Lipa-Noi"
"Lipetsk","2","Russia","Lipetsk","to","Lipetsk Airport (LPK) -> Lipetsk || Lipetsk Airport (LPK) -> Lipetsk"
"Lipetsk Airport (LPK)","2","Russia","Lipetsk","from","Lipetsk Airport (LPK) -> Lipetsk || Lipetsk Airport (LPK) -> Lipetsk"
"Lisbon","1","Portugal","Lisbon","to","Lisbon Airport (LIS) -> Lisbon"
"Lisbon Airport (LIS)","1","Portugal","Lisbon","from","Lisbon Airport (LIS) -> Lisbon"
"Listvyanka","6","Russia","Listvyanka","to","International Airport Irkutsk (IKT) -> Listvyanka || International Airport Irkutsk (IKT) -> Listvyanka || International Airport Irkutsk (IKT) -> Listvyanka"
"Livingstone","1","Zambia","Livingstone","to","Harry Mwanga Nkumbula International Airport (LVI) -> Livingstone"
"London City Airport (LCY)","24","United Kingdom","London East|London North|London North-West|London South-East|London South-West|London West","from","London City Airport (LCY) -> London East || London City Airport (LCY) -> London East || London City Airport (LCY) -> London East"
"London City Center","4","United Kingdom","London City Center","to","London Heathrow Airport (LHR) -> London City Center || London Heathrow Airport (LHR) -> London City Center || London Heathrow Airport (LHR) -> London City Center"
"London East","12","United Kingdom","London East","to","London City Airport (LCY) -> London East || London City Airport (LCY) -> London East || London City Airport (LCY) -> London East"
"London Gatwick Airport (LGW)","28","United Kingdom","London East|London Gatwick Airport (LGW)|London North|London North-West|London South-East|London South-West|London West","from|to","London Gatwick Airport (LGW) -> London East || London Gatwick Airport (LGW) -> London East || London Gatwick Airport (LGW) -> London East"
"London Heathrow Airport (LHR)","48","United Kingdom","Brighton|London City Center|London East|London Gatwick Airport (LGW)|London North|London North-West|London South-East|London South-West|London West|Portsmouth|Reading|Southhampton","from","London Heathrow Airport (LHR) -> Brighton || London Heathrow Airport (LHR) -> Brighton || London Heathrow Airport (LHR) -> Brighton"
"London North","12","United Kingdom","London North","to","London City Airport (LCY) -> London North || London City Airport (LCY) -> London North || London City Airport (LCY) -> London North"
"London North-West","12","United Kingdom","London North-West","to","London City Airport (LCY) -> London North-West || London City Airport (LCY) -> London North-West || London City Airport (LCY) -> London North-West"
"London South-East","12","United Kingdom","London South-East","to","London City Airport (LCY) -> London South-East || London City Airport (LCY) -> London South-East || London City Airport (LCY) -> London South-East"
"London South-West","12","United Kingdom","London South-West","to","London City Airport (LCY) -> London South-West || London City Airport (LCY) -> London South-West || London City Airport (LCY) -> London South-West"
"London West","12","United Kingdom","London West","to","London City Airport (LCY) -> London West || London City Airport (LCY) -> London West || London City Airport (LCY) -> London West"
"Long Beach","14","United States of America","Long Beach","to","John Wayne Airport (SNA) -> Long Beach || John Wayne Airport (SNA) -> Long Beach || John Wayne Airport (SNA) -> Long Beach"
"Long Beach Airport (LGB)","287","United States of America","Anaheim|Bakersfield|Beverly Hills|Burbank|Calabasas|Chula Vista|El Cajon|Fresno|Glendale|Hollywood, California|Inglewood|Jurupa Valley|La Crescenta-Montrose|Laguna Beach|Las Vegas|Long Beach|Los Angeles Downtown|Malibu|Montrose|Ojai+ Oak View|Ontario|Orange|Oxnard+Ventura+Camarillo|Palm Springs+Coachella|Pasadena|Pomona|Riverside|San Bernardino|San Clemente+Mission Viejo+Lake Forest|San Diego|San Fernando|San Francisco|San Marcos+Rancho Santa Fe+Escondido|Santa Ana+Irvine+Huntington Beach|Santa Barbara+Carpinteria|Santa Clarita|Santa Monica|Sunland+Tujunga|Thousand Oaks+Simi Valley|Torrance|Universal City","from","Long Beach Airport (LGB) -> Anaheim || Long Beach Airport (LGB) -> Anaheim || Long Beach Airport (LGB) -> Anaheim"
"Long Beach, California","10","United States of America","Long Beach, California|Los Angeles","to","Port of Los Angeles -> Long Beach, California || Port of Los Angeles -> Long Beach, California || Port of Los Angeles -> Long Beach, California"
"Lørenskog","1","Norway","Lørenskog","to","Oslo Gardermoen Airport (OSL) -> Lørenskog"
"Los Angeles","7","United States of America","Las Vegas","from","Los Angeles -> Las Vegas || Los Angeles -> Las Vegas || Los Angeles -> Las Vegas"
"Los Angeles Airport (LAX)","132","United States of America","Burbank|Calabasas|Glendale|Inglewood|Jurupa Valley|La Crescenta-Montrose|Laguna Beach|Los Angeles|Malibu|Ontario|Orange|Pasadena|Pomona|San Bernardino|San Fernando|Torrance|Universal City","from","Los Angeles Airport (LAX) -> Burbank || Los Angeles Airport (LAX) -> Burbank || Los Angeles Airport (LAX) -> Burbank"
"Los Angeles Downtown","29","United States of America","Los Angeles|Los Angeles Downtown","to","Los Angeles Airport (LAX) -> Los Angeles Downtown || Los Angeles Airport (LAX) -> Los Angeles Downtown || Los Angeles Airport (LAX) -> Los Angeles Downtown"
"Los Angeles Van Nuys Airport (VNY)","7","United States of America","Los Angeles Downtown","from","Los Angeles Van Nuys Airport (VNY) -> Los Angeles Downtown || Los Angeles Van Nuys Airport (VNY) -> Los Angeles Downtown || Los Angeles Van Nuys Airport (VNY) -> Los Angeles Downtown"
"Lovina Beach","1","Indonesia","Lovina Beach","to","Denpasar Ngurah Rai Airport (DPS) -> Lovina Beach"
"Luleå","2","Sweden","Luleå","to","Luleå Airport (LLA) -> Luleå || Luleå Airport (LLA) -> Luleå"
"Luleå Airport (LLA)","13","Sweden","Arjeplog|Boden|Boliden|Gällivare|Harads|Jokkmokk|Kiruna|Luleå|Piteå / Pitea|Rovaniemi City|Skellefteå|Umeå","from","Luleå Airport (LLA) -> Arjeplog || Luleå Airport (LLA) -> Boden || Luleå Airport (LLA) -> Boliden"
"Lund","1","Sweden","Lund","to","Malmö Sturup Airport (MMX) -> Lund"
"Luosto","2","Finland","Luosto","to","Rovaniemi Airport (RVN) -> Luosto || Rovaniemi Airport (RVN) -> Luosto"
"Lviv","3","Ukraine","Lviv","to","Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv"
"Lviv Danylo Halytskyi International Airport (LWO)","3","Ukraine","Lviv","from","Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv"
"Lyka World Links Golf, Antalya","4","Turkey","Lyka World Links Golf, Antalya","to","Antalya Airport (AYT) -> Lyka World Links Golf, Antalya || Antalya Airport (AYT) -> Lyka World Links Golf, Antalya || Antalya Airport (AYT) -> Lyka World Links Golf, Antalya"
"Lyon","5","France","Lyon","to","Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon"
"Lyon St-Exupéry Airport (LYS)","5","France","Lyon","from","Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon || Lyon St-Exupéry Airport (LYS) -> Lyon"
"Lysaker, IT Fornebu, Snaroya (Oslo)","1","Norway","Lysaker, IT Fornebu, Snaroya (Oslo)","to","Oslo Gardermoen Airport (OSL) -> Lysaker, IT Fornebu, Snaroya (Oslo)"
"Maan","6","Jordan","Maan","to","Amman Civil Airport (Marka) (ADJ) -> Maan || Amman Civil Airport (Marka) (ADJ) -> Maan || Amman Civil Airport (Marka) (ADJ) -> Maan"
"Madaba","6","Jordan","Madaba","to","Amman Civil Airport (Marka) (ADJ) -> Madaba || Amman Civil Airport (Marka) (ADJ) -> Madaba || Amman Civil Airport (Marka) (ADJ) -> Madaba"
"Madrid","5","Spain","Madrid","to","Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid"
"Mae Nam Ko Samui Thailand","5","Thailand","Mae Nam Ko Samui Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Mae Nam Ko Samui Thailand || Samui International Airport (USM) -> Mae Nam Ko Samui Thailand || Samui International Airport (USM) -> Mae Nam Ko Samui Thailand"
"Mae Rim district","3","Thailand","Mae Rim district","to","Chiang Mai International Airport (CNX) -> Mae Rim district || Chiang Mai International Airport (CNX) -> Mae Rim district || Chiang Mai International Airport (CNX) -> Mae Rim district"
"mae salong district","1","Thailand","mae salong district","to","Chiang Mai International Airport (CNX) -> mae salong district"
"Mae-Hongsorn district","3","Thailand","Mae-Hongsorn district","to","Chiang Mai International Airport (CNX) -> Mae-Hongsorn district || Chiang Mai International Airport (CNX) -> Mae-Hongsorn district || Chiang Mai International Airport (CNX) -> Mae-Hongsorn district"
"Maetang district","3","Thailand","Maetang district","to","Chiang Mai International Airport (CNX) -> Maetang district || Chiang Mai International Airport (CNX) -> Maetang district || Chiang Mai International Airport (CNX) -> Maetang district"
"Mafraq","6","Jordan","Mafraq","to","Amman Civil Airport (Marka) (ADJ) -> Mafraq || Amman Civil Airport (Marka) (ADJ) -> Mafraq || Amman Civil Airport (Marka) (ADJ) -> Mafraq"
"Mahmutlar","5","Turkey","Mahmutlar","to","Antalya Airport (AYT) -> Mahmutlar || Antalya Airport (AYT) -> Mahmutlar || Antalya Airport (AYT) -> Mahmutlar"
"Mai Khao, Maikhao Phuket","10","Thailand","Mai Khao, Maikhao Phuket","to","Krabi International Airport (KBV) -> Mai Khao, Maikhao Phuket || Krabi International Airport (KBV) -> Mai Khao, Maikhao Phuket || Phuket International Airport (HKT) -> Mai Khao, Maikhao Phuket"
"Makadi Bay","2","Egypt","Makadi Bay","to","Hurghada Airport (HRG) -> Makadi Bay || Hurghada Airport (HRG) -> Makadi Bay"
"Malaga","6","Spain","Malaga","to","Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga"
"Malaga Airport (AGP)","6","Spain","Malaga","from","Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga"
"Malibu","21","United States of America","Malibu","to","John Wayne Airport (SNA) -> Malibu || John Wayne Airport (SNA) -> Malibu || John Wayne Airport (SNA) -> Malibu"
"Malmö / Malmo","5","Denmark|Sweden","Malmö / Malmo","to","Copenhagen Kastrup Airport (CPH) -> Malmö / Malmo || Copenhagen Kastrup Airport (CPH) -> Malmö / Malmo || Copenhagen Kastrup Airport (CPH) -> Malmö / Malmo"
"Malmö Sturup Airport (MMX)","14","Denmark|Sweden","Malmö Sturup Airport (MMX)|Copenhagen|Copenhagen Kastrup Airport (CPH)|Gøteborg / Göteborg / Gothenburg|Helsingborg|Landskrona|Lund|Malmö / Malmo|Trelleborg|Ystad","to|from","Copenhagen Kastrup Airport (CPH) -> Malmö Sturup Airport (MMX) || Copenhagen Kastrup Airport (CPH) -> Malmö Sturup Airport (MMX) || Copenhagen Kastrup Airport (CPH) -> Malmö Sturup Airport (MMX)"
"Managri","1","Cyprus","Managri","to","Larnaca Airport (LCA) -> Managri"
"Manavgat city","5","Turkey","Manavgat city","to","Antalya Airport (AYT) -> Manavgat city || Antalya Airport (AYT) -> Manavgat city || Antalya Airport (AYT) -> Manavgat city"
"Marmaris","3","Turkey","Marmaris","to","Dalaman Airport (DLM) -> Marmaris || Dalaman Airport (DLM) -> Marmaris || Dalaman Airport (DLM) -> Marmaris"
"Marrakesh city","7","Morocco","Marrakesh city","to","Marrakesh Menara Airport (RAK) -> Marrakesh city || Marrakesh Menara Airport (RAK) -> Marrakesh city || Marrakesh Menara Airport (RAK) -> Marrakesh city"
"Marrakesh city centre (riads)","7","Morocco","Marrakesh city centre (riads)","to","Marrakesh Menara Airport (RAK) -> Marrakesh city centre (riads) || Marrakesh Menara Airport (RAK) -> Marrakesh city centre (riads) || Marrakesh Menara Airport (RAK) -> Marrakesh city centre (riads)"
"Marrakesh Menara Airport (RAK)","98","Morocco","Annakil|Asni|El Jadida|Gueliz|Hivernage|Marrakesh city|Marrakesh city centre (riads)|Marrakesh outskirts|Menara + Hay Charaf + El Azzouzia|Ouahat Sidi Brahim|Palmeraie|Tameslouht|Tasoultante|cercle d' Loudaya","from","Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil"
"Marrakesh outskirts","7","Morocco","Marrakesh outskirts","to","Marrakesh Menara Airport (RAK) -> Marrakesh outskirts || Marrakesh Menara Airport (RAK) -> Marrakesh outskirts || Marrakesh Menara Airport (RAK) -> Marrakesh outskirts"
"Marsa Matrouh","2","Egypt","Marsa Matrouh","to","Cairo International Airport (CAI) -> Marsa Matrouh || Cairo International Airport (CAI) -> Marsa Matrouh"
"Marseille","5","France","Marseille","to","Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille"
"Marseille Provence Airport (MRS)","5","France","Marseille","from","Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille || Marseille Provence Airport (MRS) -> Marseille"
"Märsta suburban area, Stockholm","2","Sweden","Märsta suburban area, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Märsta suburban area, Stockholm || Stockholm Arlanda Airport (ARN) -> Märsta suburban area, Stockholm"
"Marstrand","1","Sweden","Marstrand","to","Gothenburg Landvetter Airport (GOT) -> Marstrand"
"Mazotos","1","Cyprus","Mazotos","to","Larnaca Airport (LCA) -> Mazotos"
"Menara + Hay Charaf + El Azzouzia","7","Morocco","Menara + Hay Charaf + El Azzouzia","to","Marrakesh Menara Airport (RAK) -> Menara + Hay Charaf + El Azzouzia || Marrakesh Menara Airport (RAK) -> Menara + Hay Charaf + El Azzouzia || Marrakesh Menara Airport (RAK) -> Menara + Hay Charaf + El Azzouzia"
"Miami","20","United States of America","Miami","to","Fort Lauderdale-Hollywood International Airport (FLL) -> Miami || Fort Lauderdale-Hollywood International Airport (FLL) -> Miami || Fort Lauderdale-Hollywood International Airport (FLL) -> Miami"
"Miami airport (MIA)","36","United States of America","Fort Lauderdale City Florida USA|Fort Lauderdale-Hollywood International Airport (FLL)|Miami|Miami Beach|Miami airport (MIA)|West Palm Beach Airport (PBI)|West Palm Beach Florida USA","from|to","Miami airport (MIA) -> Fort Lauderdale City Florida USA || Miami airport (MIA) -> Fort Lauderdale City Florida USA || Miami airport (MIA) -> Fort Lauderdale City Florida USA"
"Miami Beach","24","United States of America","Fort Lauderdale-Hollywood International Airport (FLL)|Miami Beach|Miami airport (MIA)|Port of Miami","from|to","Miami Beach -> Fort Lauderdale-Hollywood International Airport (FLL) || Miami Beach -> Fort Lauderdale-Hollywood International Airport (FLL) || Miami Beach -> Fort Lauderdale-Hollywood International Airport (FLL)"
"Mikkeli","3","Finland","Mikkeli","to","Helsinki Vantaa airport (HEL) -> Mikkeli || Helsinki Vantaa airport (HEL) -> Mikkeli || Helsinki Vantaa airport (HEL) -> Mikkeli"
"Milan","16","Italy","Milan","to","Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan"
"Milan Linate Airport (LIN)","6","Italy","Milan","from","Milan Linate Airport (LIN) -> Milan || Milan Linate Airport (LIN) -> Milan || Milan Linate Airport (LIN) -> Milan"
"Milan Malpensa Airport (MXP)","5","Italy","Milan","from","Milan Malpensa Airport (MXP) -> Milan || Milan Malpensa Airport (MXP) -> Milan || Milan Malpensa Airport (MXP) -> Milan"
"Milas–Bodrum International Airport (BJV)","8","Russia|Turkey","Bodrum|Kusadası|Torba","from","Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum"
"Mina Jebel Ali, Dubai","11","United Arab Emirates","Mina Jebel Ali, Dubai","to","Dubai international Airport (DXB) -> Mina Jebel Ali, Dubai || Dubai international Airport (DXB) -> Mina Jebel Ali, Dubai || Dubai international Airport (DXB) -> Mina Jebel Ali, Dubai"
"Mineral'nie Vody","5","Russia","Mineral'nie Vody","to","Mineralnye Vody airport (MRV) -> Mineral'nie Vody || Mineralnye Vody airport (MRV) -> Mineral'nie Vody || Mineralnye Vody airport (MRV) -> Mineral'nie Vody"
"Mineralnye Vody airport (MRV)","16","Russia","Kislovodsk|Mineral'nie Vody|Pyatigorsk","from","Mineralnye Vody airport (MRV) -> Kislovodsk || Mineralnye Vody airport (MRV) -> Kislovodsk || Mineralnye Vody airport (MRV) -> Kislovodsk"
"Minsk","4","Belarus","Minsk","to","Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk"
"Minsk Airport (MSQ)","4","Belarus","Minsk","from","Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk || Minsk Airport (MSQ) -> Minsk"
"Montrose","14","United States of America","Montrose","to","John Wayne Airport (SNA) -> Montrose || John Wayne Airport (SNA) -> Montrose || John Wayne Airport (SNA) -> Montrose"
"Moscow","24","Russia","Moscow","to","Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow"
"Moscow Domodedovo International Airport (DME)","42","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)","from|to","Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow"
"Moscow Sheremetyevo International Airport (SVO)","43","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)|Sheraton Moscow Sheremetyevo Airport","from|to","Moscow Sheremetyevo International Airport (SVO) -> Moscow || Moscow Sheremetyevo International Airport (SVO) -> Moscow || Moscow Sheremetyevo International Airport (SVO) -> Moscow"
"Moscow Vnukovo International Airport (VKO)","42","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)","from|to","Moscow Vnukovo International Airport (VKO) -> Moscow || Moscow Vnukovo International Airport (VKO) -> Moscow || Moscow Vnukovo International Airport (VKO) -> Moscow"
"Moscow Zhukovsky International Airport (ZIA)","42","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)","from|to","Moscow Zhukovsky International Airport (ZIA) -> Moscow || Moscow Zhukovsky International Airport (ZIA) -> Moscow || Moscow Zhukovsky International Airport (ZIA) -> Moscow"
"Mount Fuji, Hakone","9","Japan","Mount Fuji, Hakone","to","Tokyo (within 23 wards) -> Mount Fuji, Hakone || Tokyo (within 23 wards) -> Mount Fuji, Hakone || Tokyo (within 23 wards) -> Mount Fuji, Hakone"
"Mueang Phuket District","5","Thailand","Mueang Phuket District","to","Phuket International Airport (HKT) -> Mueang Phuket District || Phuket International Airport (HKT) -> Mueang Phuket District || Phuket International Airport (HKT) -> Mueang Phuket District"
"Mueang, Phang Nga","4","Thailand","Mueang, Phang Nga","to","Krabi International Airport (KBV) -> Mueang, Phang Nga || Krabi International Airport (KBV) -> Mueang, Phang Nga || Phuket International Airport (HKT) -> Mueang, Phang Nga"
"Mulhouse","1","France","Mulhouse","to","EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Mulhouse"
"Munich","2","Germany","Munich","to","Munich Franz Josef Strauß Airport (MUC) -> Munich || Munich Franz Josef Strauß Airport (MUC) -> Munich"
"Munich Franz Josef Strauß Airport (MUC)","2","Germany","Munich","from","Munich Franz Josef Strauß Airport (MUC) -> Munich || Munich Franz Josef Strauß Airport (MUC) -> Munich"
"Murmansk","5","Russia","Murmansk","to","Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk"
"Murmansk Airport (MMK)","5","Russia","Murmansk","from","Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk || Murmansk Airport (MMK) -> Murmansk"
"Naberezhnye Chelny","10","Russia","Naberezhnye Chelny","to","Begishevo Airport (NBC) -> Naberezhnye Chelny || Begishevo Airport (NBC) -> Naberezhnye Chelny || Elabuga Begishevo Airport (NBC) -> Naberezhnye Chelny"
"Nabq Bay","2","Egypt","Nabq Bay","to","Sharm el-Sheikh International Airport (SSH) -> Nabq Bay || Sharm el-Sheikh International Airport (SSH) -> Nabq Bay"
"Nacka suburban area, Stockholm","2","Sweden","Nacka suburban area, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Nacka suburban area, Stockholm || Stockholm Arlanda Airport (ARN) -> Nacka suburban area, Stockholm"
"Nacka, Sweden","2","Sweden","Nacka, Sweden","to","Stockholm Arlanda Airport (ARN) -> Nacka, Sweden || Stockholm Arlanda Airport (ARN) -> Nacka, Sweden"
"Naftalan","3","Azerbaijan","Naftalan","to","Baku Heydar Aliyev International Airport (GYD) -> Naftalan || Baku Heydar Aliyev International Airport (GYD) -> Naftalan || Baku Heydar Aliyev International Airport (GYD) -> Naftalan"
"Nakhon Si Thammarat city","2","Thailand","Nakhon Si Thammarat city","to","Phuket International Airport (HKT) -> Nakhon Si Thammarat city || Phuket International Airport (HKT) -> Nakhon Si Thammarat city"
"Namyangju","10","South Korea","Namyangju","to","Seoul Gimpo Airport (GMP) -> Namyangju || Seoul Gimpo Airport (GMP) -> Namyangju || Seoul Gimpo Airport (GMP) -> Namyangju"
"Nantou City","3","Taiwan","Nantou City","to","Taichung Airport (RMQ) -> Nantou City || Taichung Airport (RMQ) -> Nantou City || Taichung Airport (RMQ) -> Nantou City"
"Nathon-Lipa Thailand","2","Thailand","Nathon-Lipa Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Nathon-Lipa Thailand || Samui International Airport (USM) -> Nathon-Lipa Thailand"
"Nesoddtangen","1","Norway","Nesoddtangen","to","Oslo Gardermoen Airport (OSL) -> Nesoddtangen"
"Nesøya / Nesbru","1","Norway","Nesøya / Nesbru","to","Oslo Gardermoen Airport (OSL) -> Nesøya / Nesbru"
"New Taipei","6","Taiwan","New Taipei","to","Taipei Songshan Airport (TSA) -> New Taipei || Taipei Songshan Airport (TSA) -> New Taipei || Taipei Songshan Airport (TSA) -> New Taipei"
"New York","15","United States of America","New York","to","New York John F. Kennedy Airport (JFK) -> New York || New York John F. Kennedy Airport (JFK) -> New York || New York John F. Kennedy Airport (JFK) -> New York"
"New York John F. Kennedy Airport (JFK)","8","United States of America","New York","from","New York John F. Kennedy Airport (JFK) -> New York || New York John F. Kennedy Airport (JFK) -> New York || New York John F. Kennedy Airport (JFK) -> New York"
"New York LaGuardia Airport (LGA)","4","United States of America","New York","from","New York LaGuardia Airport (LGA) -> New York || New York LaGuardia Airport (LGA) -> New York || New York LaGuardia Airport (LGA) -> New York"
"New York Newark Liberty Airport (EWR)","3","United States of America","New York","from","New York Newark Liberty Airport (EWR) -> New York || New York Newark Liberty Airport (EWR) -> New York || New York Newark Liberty Airport (EWR) -> New York"
"Newport Beach","7","United States of America","Newport Beach","to","John Wayne Airport (SNA) -> Newport Beach || John Wayne Airport (SNA) -> Newport Beach || John Wayne Airport (SNA) -> Newport Beach"
"Nice","4","France","Nice","to","Nice Côte d'Azur Airport (NCE) -> Nice || Nice Côte d'Azur Airport (NCE) -> Nice || Nice Côte d'Azur Airport (NCE) -> Nice"
"Nice Côte d'Azur Airport (NCE)","4","France","Nice","from","Nice Côte d'Azur Airport (NCE) -> Nice || Nice Côte d'Azur Airport (NCE) -> Nice || Nice Côte d'Azur Airport (NCE) -> Nice"
"Nicolaev (Mykolaiv) International Airport (NLV)","1","Ukraine","Nikolaev (Mykolaiv)","from","Nicolaev (Mykolaiv) International Airport (NLV) -> Nikolaev (Mykolaiv)"
"Nicosia","2","Cyprus","Nicosia","to","Larnaca Airport (LCA) -> Nicosia || Paphos Airport (PFO) -> Nicosia"
"Night tour European Side to Asian Side restaurant round trip","2","Turkey","Istanbul","to","European Side -> Night tour European Side to Asian Side restaurant round trip || European Side -> Night tour European Side to Asian Side restaurant round trip"
"Night tour within European Side restaurant round trip","2","Turkey","Istanbul","to","European Side -> Night tour within European Side restaurant round trip || European Side -> Night tour within European Side restaurant round trip"
"Nikolaev (Mykolaiv)","1","Ukraine","Nikolaev (Mykolaiv)","to","Nicolaev (Mykolaiv) International Airport (NLV) -> Nikolaev (Mykolaiv)"
"Nittedal","1","Norway","Nittedal","to","Oslo Gardermoen Airport (OSL) -> Nittedal"
"Nivavaara","2","Finland","Nivavaara","to","Rovaniemi Airport (RVN) -> Nivavaara || Rovaniemi Airport (RVN) -> Nivavaara"
"Nizhnekamsk","7","Russia","Nizhnekamsk","to","Elabuga Begishevo Airport (NBC) -> Nizhnekamsk || Elabuga Begishevo Airport (NBC) -> Nizhnekamsk || Elabuga Begishevo Airport (NBC) -> Nizhnekamsk"
"Nizhny Novgorod","5","Russia","Nizhny Novgorod","to","Nizhny Novgorod International Airport (GOJ) -> Nizhny Novgorod || Nizhny Novgorod International Airport (GOJ) -> Nizhny Novgorod || Nizhny Novgorod International Airport (GOJ) -> Nizhny Novgorod"
"Nizhny Novgorod International Airport (GOJ)","5","Russia","Nizhny Novgorod","from","Nizhny Novgorod International Airport (GOJ) -> Nizhny Novgorod || Nizhny Novgorod International Airport (GOJ) -> Nizhny Novgorod || Nizhny Novgorod International Airport (GOJ) -> Nizhny Novgorod"
"Noppharat Thara Beach, Krabi","2","Thailand","Noppharat Thara Beach, Krabi","to","Phuket International Airport (HKT) -> Noppharat Thara Beach, Krabi || Phuket International Airport (HKT) -> Noppharat Thara Beach, Krabi"
"Norefjell","1","Norway","Norefjell","to","Oslo Gardermoen Airport (OSL) -> Norefjell"
"Norrtälje town","2","Sweden","Norrtälje town","to","Stockholm Arlanda Airport (ARN) -> Norrtälje town || Stockholm Arlanda Airport (ARN) -> Norrtälje town"
"Northeast Philadelphia Airport (PNE)","1","United States of America","Philadelphia City Center, USA","from","Northeast Philadelphia Airport (PNE) -> Philadelphia City Center, USA"
"Novocherkassk","1","Russia","Novocherkassk","to","Rostov-on-Don Platov Airport (ROV) -> Novocherkassk"
"Novokuznetsk","6","Russia","Novokuznetsk","to","Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk"
"Novokuznetsk Airport (NOZ)","6","Russia","Novokuznetsk","from","Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk"
"Novosibirsk","1","Russia","Novosibirsk","to","Novosibirsk Tolmachevo Airport (OVB) -> Novosibirsk"
"Novosibirsk Tolmachevo Airport (OVB)","1","Russia","Novosibirsk","from","Novosibirsk Tolmachevo Airport (OVB) -> Novosibirsk"
