"name","count","countries","cities","roles","samples"
"Ansan","10","South Korea","Ansan","to","Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan"
"Antalya Airport (AYT)","182","Turkey","Adrasan|Aksu (Antalya)|Alanya|Alara|Antalya city centre district|Antalya cruise port Akdeniz|Avsallar|Beldibi town, Kemer|Belek|Bogazkent / Boğazkent|Camyuva / Çamyuva|Cirali / Çıralı (Kemer, Antlaya)|Colakli / Çolaklı|Denizyaka|Evrenseki|Fethiye|Goynuk / Göynük|Gundogdu / Gündoğdu|Incekum|Kadriye|Kalkan|Kargıcak|Kas / Kaş|Kemer, Antalia|Kestel|Kiris / Kiriş|Kizilagac / Kızılağaç|Kizilot|Konakli|Konyaalti district, Antalya|Kumkoy / Kumköy|Kundu beach|Lara beach|Lyka World Links Golf, Antalya|Mahmutlar|Manavgat city|Oba|Okurcalar|Payallar|Side district|Sorgun|Tekirova|Titreyengol lake|Tosmur|Turkler / Türkler","from","Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan"
"Antalya city centre district","4","Turkey","Antalya city centre district","to","Antalya Airport (AYT) -> Antalya city centre district || Antalya Airport (AYT) -> Antalya city centre district || Antalya Airport (AYT) -> Antalya city centre district"
"Antalya cruise port Akdeniz","3","Turkey","Antalya cruise port Akdeniz","to","Antalya Airport (AYT) -> Antalya cruise port Akdeniz || Antalya Airport (AYT) -> Antalya cruise port Akdeniz || Antalya Airport (AYT) -> Antalya cruise port Akdeniz"
"Ao Luek District, Krabi","6","Thailand","Ao Luek District, Krabi","to","Phuket International Airport (HKT) -> Ao Luek District, Krabi || Phuket International Airport (HKT) -> Ao Luek District, Krabi || Phuket International Airport (HKT) -> Ao Luek District, Krabi"
"Ao Nam Mao, Krabi","2","Thailand","Ao Nam Mao, Krabi","to","Phuket International Airport (HKT) -> Ao Nam Mao, Krabi || Phuket International Airport (HKT) -> Ao Nam Mao, Krabi"
"Ao Nang Beach","1","Thailand","Ao Nang Beach","to","Krabi International Airport (KBV) -> Ao Nang Beach"
"Ao Nang, Krabi","6","Thailand","Ao Nang, Krabi","to","Phuket International Airport (HKT) -> Ao Nang, Krabi || Phuket International Airport (HKT) -> Ao Nang, Krabi || Phuket International Airport (HKT) -> Ao Nang, Krabi"
"Ao Thalane Bay, Krabi","2","Thailand","Ao Thalane Bay, Krabi","to","Phuket International Airport (HKT) -> Ao Thalane Bay, Krabi || Phuket International Airport (HKT) -> Ao Thalane Bay, Krabi"
"Aqaba","6","Jordan","Aqaba","to","Amman Civil Airport (Marka) (ADJ) -> Aqaba || Amman Civil Airport (Marka) (ADJ) -> Aqaba || Amman Civil Airport (Marka) (ADJ) -> Aqaba"
"Arakapas","1","Cyprus","Arakapas","to","Larnaca Airport (LCA) -> Arakapas"
"Åre / Are","1","Sweden","Åre / Are","to","Östersund Åre Airport (OSD) -> Åre / Are"
"Arendal","1","Norway","Arendal","to","Oslo Gardermoen Airport (OSL) -> Arendal"
"Arjeplog","1","Sweden","Arjeplog","to","Luleå Airport (LLA) -> Arjeplog"
