Country,From,To,Type,Pax,Price,Currency,CAT,Transferz,Dottransfers,Talixo,Suntransfers,Alexandra
Cyprus,Paphos Airport (PFO),Pano Ardes,Standard class car,3,"€78,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Katikas,Standard class car,3,"€72,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Gioliu,Standard class car,3,"€72,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Polis,Standard class car,3,"€96,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Pomos,Standard class car,3,"€120,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Limassol,Standard class car,3,"€96,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Nicosia,Standard class car,3,"€216,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Larnaca,Standard class car,3,"€168,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Ayia Napa,Standard class car,3,"€228,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Paralimni,Standard class car,3,"€264,00",EUR,,,,,,
Cyprus,Paphos Airport (PFO),Protaras,Standard class car,3,"€264,00",EUR,,,,,,
Denmark,Aarhus airport (AAR),Aarhus,Standard class car,3,"€93,00",EUR,,,,,,
Denmark,Aarhus airport (AAR),Aarhus,Standard minivan 6 pax,6,"€170,00",EUR,,,,,,
Denmark,Copenhagen Cruise Port,Copenhagen,Business class car,3,"€142,00",EUR,,,,,,
Denmark,Copenhagen Cruise Port,Copenhagen,Businessvan 6 pax,6,"€168,00",EUR,,,,,,
Denmark,Copenhagen Cruise Port,Copenhagen,Standard class car,3,"€65,00",EUR,,,,,,
Denmark,Copenhagen Cruise Port,Copenhagen,Standard minivan 7 pax,7,"€135,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Copenhagen,Business class car,3,"€136,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Copenhagen,Standard class car,3,"€60,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Copenhagen,Standard minivan 6 pax,6,"€120,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Glostrup,Business class car,3,"€210,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Glostrup,Standard class car,3,"€148,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Glostrup,Standard minivan 6 pax,6,"€190,00",EUR,,,,,,
