"name","count","countries","cities","roles","samples","etoStatus","category"
"Gelendzhik Airport (GDZ)","6","Russia","Gelendzhik","from","Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik","missing","airport"
"Krasnodar International Airport (KRR)","6","Russia","Gelendzhik|Krasnodar","from","Krasnodar International Airport (KRR) -> Gelendzhik || Krasnodar International Airport (KRR) -> Krasnodar || Krasnodar International Airport (KRR) -> Krasnodar","missing","airport"
"Krasnoyarsk Yemelyanovo Airport (KJA)","6","Russia","Krasnoyarsk","from","Krasnoyarsk Yemelyanovo Airport (KJA) -> Krasnoyarsk || Krasnoyarsk Yemelyanovo Airport (KJA) -> Krasnoyarsk || Krasnoyarsk Yemelyanovo Airport (KJA) -> Krasnoyarsk","missing","airport"
"Malaga Airport (AGP)","6","Spain","Malaga","from","Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga || Malaga Airport (AGP) -> Malaga","missing","airport"
"Milan Linate Airport (LIN)","6","Italy","Milan","from","Milan Linate Airport (LIN) -> Milan || Milan Linate Airport (LIN) -> Milan || Milan Linate Airport (LIN) -> Milan","missing","airport"
"Novokuznetsk Airport (NOZ)","6","Russia","Novokuznetsk","from","Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk || Novokuznetsk Airport (NOZ) -> Novokuznetsk","missing","airport"
"Port of Stockholm (Nynäshamn)","6","Sweden","Port of Stockholm (Nynäshamn)|Stockholm Arlanda Airport (ARN)|Stockholm city center","to|from","Stockholm Arlanda Airport (ARN) -> Port of Stockholm (Nynäshamn) || Stockholm Arlanda Airport (ARN) -> Port of Stockholm (Nynäshamn) || Port of Stockholm (Nynäshamn) -> Stockholm Arlanda Airport (ARN)","missing","port"
"Saratov Tsentralny Airport (RTW)","6","Russia","Saratov","from","Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov","missing","airport"
"Shanghai Pudong International Airport (PVG)","6","China","Shanghai city center","from","Shanghai Pudong International Airport (PVG) -> Shanghai city center || Shanghai Pudong International Airport (PVG) -> Shanghai city center || Shanghai Pudong International Airport (PVG) -> Shanghai city center","missing","airport"
"Stavropol' Shpakovskoye Airport (STW)","6","Russia","Stavropol'","from","Stavropol' Shpakovskoye Airport (STW) -> Stavropol' || Stavropol' Shpakovskoye Airport (STW) -> Stavropol' || Stavropol' Shpakovskoye Airport (STW) -> Stavropol'","missing","airport"
"Taichung Airport (RMQ)","6","Taiwan","Nantou City|Taichung City","from","Taichung Airport (RMQ) -> Nantou City || Taichung Airport (RMQ) -> Nantou City || Taichung Airport (RMQ) -> Nantou City","missing","airport"
"Ulyanovsk Vostochny Airport (ULY)","6","Russia","Ulyanovsk","from","Ulyanovsk Vostochny Airport (ULY) -> Ulyanovsk || Ulyanovsk Vostochny Airport (ULY) -> Ulyanovsk || Ulyanovsk Vostochny Airport (ULY) -> Ulyanovsk","missing","airport"
"Volgograd International Airport (VOG)","6","Russia","Volgograd","from","Volgograd International Airport (VOG) -> Volgograd || Volgograd International Airport (VOG) -> Volgograd || Volgograd International Airport (VOG) -> Volgograd","missing","airport"
"Vologda Airport (VGD)","6","Russia","Vologda","from","Vologda Airport (VGD) -> Vologda || Vologda Airport (VGD) -> Vologda || Vologda Airport (VGD) -> Vologda","missing","airport"
"Voronezh-Chertovitskoye Airport (VOZ)","6","Russia","Voronezh","from","Voronezh-Chertovitskoye Airport (VOZ) -> Voronezh || Voronezh-Chertovitskoye Airport (VOZ) -> Voronezh || Voronezh-Chertovitskoye Airport (VOZ) -> Voronezh","missing","airport"
"Yaroslavl Tunoshna Airport (IAR)","6","Russia","Yaroslavl","from","Yaroslavl Tunoshna Airport (IAR) -> Yaroslavl || Yaroslavl Tunoshna Airport (IAR) -> Yaroslavl || Yaroslavl Tunoshna Airport (IAR) -> Yaroslavl","missing","airport"
"Adolfo Suárez Madrid–Barajas Airport (MAD)","5","Spain","Madrid","from","Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid || Adolfo Suárez Madrid–Barajas Airport (MAD) -> Madrid","missing","airport"
