"rowId","country","routeFrom","routeTo","vehicleType","pax","price","currency","source","notes"
"cmm3d3nz3002fk8pphn0qki7t","China","Shanghai Hongqiao International Airport (SHA)","Shanghai city center","Standard class car","3","38","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002gk8pp4favxilo","China","Shanghai Hongqiao International Airport (SHA)","Shanghai city center","Standard minivan 6 pax","6","45","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3002hk8ppcv72jnmu","China","Shanghai Pudong International Airport (PVG)","Shanghai city center","Business class car","3","93","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002ik8ppcwuqulhf","China","Shanghai Pudong International Airport (PVG)","Shanghai city center","Businessvan 6 pax","6","117","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3002jk8ppcxryxogh","China","Shanghai Pudong International Airport (PVG)","Shanghai city center","First class car","3","209","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002lk8ppyztcq2up","China","Shanghai Pudong International Airport (PVG)","Shanghai city center","Standard Minibus 16pax","16","144","EUR","base_price_xlsx","pax:16"
"cmm3d3nz3002kk8ppa5b91e9l","China","Shanghai Pudong International Airport (PVG)","Shanghai city center","Standard class car","3","49","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002mk8pphyk96dbl","China","Shanghai Pudong International Airport (PVG)","Shanghai city center","Standard minivan 6 pax","6","64","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3002nk8pp52bdrnyh","China","Shenzhen Bao'an International Airport (SZX)","Shenzhen city center","Business class car","3","55","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002ok8ppqgmf4tv4","China","Shenzhen Bao'an International Airport (SZX)","Shenzhen city center","Businessvan 6 pax","6","80","EUR","base_price_xlsx","pax:6"
"cmm3d3nz4002pk8ppjjp524kv","China","Shenzhen Bao'an International Airport (SZX)","Shenzhen city center","Standard class car","3","45","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002qk8pp5ihilva8","China","Shenzhen Bao'an International Airport (SZX)","Shenzhen city center","Standard minivan 6 pax","6","69","EUR","base_price_xlsx","pax:6"
"cmm3d3nz4003zk8pppud58q7q","Cyprus","Larnaca Airport (LCA)","Agios Mamas","Standard class car","3","168","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004lk8ppvp3qj9rc","Cyprus","Larnaca Airport (LCA)","Agraka","Standard class car","3","264","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40036k8ppg9hw3xwy","Cyprus","Larnaca Airport (LCA)","Agros","Standard class car","3","174","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40043k8ppeo6fxgjg","Cyprus","Larnaca Airport (LCA)","Akaki","Standard class car","3","120","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003gk8pptae3g4bn","Cyprus","Larnaca Airport (LCA)","Akrotiri","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003xk8ppn84u836s","Cyprus","Larnaca Airport (LCA)","Alassa","Standard class car","3","156","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003kk8ppspnth1go","Cyprus","Larnaca Airport (LCA)","Anogyra","Standard class car","3","168","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003tk8ppn38kw4z9","Cyprus","Larnaca Airport (LCA)","Arakapas","Standard class car","3","120","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003qk8ppjsjjnumz","Cyprus","Larnaca Airport (LCA)","Armenochori","Standard class car","3","114","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003dk8ppdaqegmnb","Cyprus","Larnaca Airport (LCA)","Asomatos","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004gk8pp0870k9pj","Cyprus","Larnaca Airport (LCA)","Avakas Bay","Standard class car","3","276","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003jk8pppm1cxfx3","Cyprus","Larnaca Airport (LCA)","Avdimou","Standard class car","3","144","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002tk8ppsx7p6ieu","Cyprus","Larnaca Airport (LCA)","Avgorou","Standard class car","3","84","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40031k8pp5x17287a","Cyprus","Larnaca Airport (LCA)","Ayia Napa","Standard class car","3","84","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004hk8pp6yvwrshr","Cyprus","Larnaca Airport (LCA)","Chloraka","Standard class car","3","192","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003bk8ppq8zitsez","Cyprus","Larnaca Airport (LCA)","City of Dream","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40041k8ppvhkv80fx","Cyprus","Larnaca Airport (LCA)","Dali","Standard class car","3","66","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002xk8pp41f9hzdl","Cyprus","Larnaca Airport (LCA)","Derynia","Standard class car","3","102","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003sk8pp9uwxg1ym","Cyprus","Larnaca Airport (LCA)","Dierona","Standard class car","3","144","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003fk8pp7kl09rae","Cyprus","Larnaca Airport (LCA)","Episkopi","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003ek8ppi99uozma","Cyprus","Larnaca Airport (LCA)","Erimi","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003mk8pp3fgno0ko","Cyprus","Larnaca Airport (LCA)","Fasoula","Standard class car","3","132","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003pk8pp5bi0xo98","Cyprus","Larnaca Airport (LCA)","Finikaria","Standard class car","3","120","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003ok8pp8pidpxc6","Cyprus","Larnaca Airport (LCA)","Gerasa","Standard class car","3","150","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40037k8ppxrweel9x","Cyprus","Larnaca Airport (LCA)","Ipsonas","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004ak8ppbm2e1g7r","Cyprus","Larnaca Airport (LCA)","Kakopetria","Standard class car","3","186","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003hk8pps7tagg42","Cyprus","Larnaca Airport (LCA)","Kalo Chorio Limassol","Standard class car","3","162","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40048k8pp500npp1b","Cyprus","Larnaca Airport (LCA)","Kalopanagiotis","Standard class car","3","192","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003rk8pp6266fily","Cyprus","Larnaca Airport (LCA)","Kelaki","Standard class car","3","132","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004dk8ppylojpsm5","Cyprus","Larnaca Airport (LCA)","Kykkos","Standard class car","3","228","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40047k8ppwsjt3p3s","Cyprus","Larnaca Airport (LCA)","Kyperounta","Standard class car","3","180","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002rk8pprcx6enxc","Cyprus","Larnaca Airport (LCA)","Larnaca","Standard class car","3","33","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40045k8ppdrp0rfp0","Cyprus","Larnaca Airport (LCA)","Leykara","Standard class car","3","90","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40034k8pp6a4xlh88","Cyprus","Larnaca Airport (LCA)","Limassol","Standard class car","3","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002vk8ppqkuh8zqy","Cyprus","Larnaca Airport (LCA)","Liopetri","Standard class car","3","84","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003wk8ppjc0ug7r9","Cyprus","Larnaca Airport (LCA)","Managri","Standard class car","3","156","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002yk8ppy55xev7r","Cyprus","Larnaca Airport (LCA)","Mazotos","Standard class car","3","48","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40040k8ppewah5go1","Cyprus","Larnaca Airport (LCA)","Nicosia","Standard class car","3","84","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003uk8ppadtg5iyj","Cyprus","Larnaca Airport (LCA)","Odou","Standard class car","3","120","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004ck8pp4tobeklx","Cyprus","Larnaca Airport (LCA)","Olympus","Standard class car","3","198","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004ek8ppt11vdmbs","Cyprus","Larnaca Airport (LCA)","Omodos","Standard class car","3","216","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40039k8pptaexx33w","Cyprus","Larnaca Airport (LCA)","Omonia","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002sk8ppx3ioerbk","Cyprus","Larnaca Airport (LCA)","Orchid","Standard class car","3","72","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003lk8ppsfprfed5","Cyprus","Larnaca Airport (LCA)","Palodia","Standard class car","3","132","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004fk8ppdin1zh6p","Cyprus","Larnaca Airport (LCA)","Paphos","Standard class car","3","180","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40032k8ppdnknnu1d","Cyprus","Larnaca Airport (LCA)","Paralimni","Standard class car","3","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003ik8pptsspohnm","Cyprus","Larnaca Airport (LCA)","Paramali","Standard class car","3","144","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003nk8ppwtzssxe8","Cyprus","Larnaca Airport (LCA)","Paramytha","Standard class car","3","144","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004ik8ppdw0sir9f","Cyprus","Larnaca Airport (LCA)","Pegeia","Standard class car","3","216","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40035k8pplerw50j9","Cyprus","Larnaca Airport (LCA)","Pissouri","Standard class car","3","144","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004bk8pputukptv3","Cyprus","Larnaca Airport (LCA)","Platres","Standard class car","3","180","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003ak8pptz4yzbqi","Cyprus","Larnaca Airport (LCA)","Polemidia","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004kk8pp694918jl","Cyprus","Larnaca Airport (LCA)","Polis","Standard class car","3","240","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004mk8pp6fl42idu","Cyprus","Larnaca Airport (LCA)","Pomos","Standard class car","3","270","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40033k8ppfgqaftrm","Cyprus","Larnaca Airport (LCA)","Protaras","Standard class car","3","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002wk8pp5ngeja0e","Cyprus","Larnaca Airport (LCA)","Sotira","Standard class car","3","90","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004jk8pp0as1j6a7","Cyprus","Larnaca Airport (LCA)","Tala","Standard class car","3","192","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002zk8ppnosowfyd","Cyprus","Larnaca Airport (LCA)","Tersefanou","Standard class car","3","42","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003ck8ppntt5bsbq","Cyprus","Larnaca Airport (LCA)","Trachoni","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003yk8pp2wif1kg1","Cyprus","Larnaca Airport (LCA)","Trimiklini","Standard class car","3","174","EUR","base_price_xlsx","pax:3"
