"name","count","countries","cities","roles","samples","etoStatus"
"Ranua","2","Finland","Ranua","to","Rovaniemi Airport (RVN) -> Ranua || Rovaniemi Airport (RVN) -> Ranua","present_exact"
"Ras Al Khaimah","14","United Arab Emirates","Ras Al Khaimah","to","Abu Dhabi International Airport (AUH) -> Ras Al Khaimah || Abu Dhabi International Airport (AUH) -> Ras Al Khaimah || Abu Dhabi International Airport (AUH) -> Ras Al Khaimah","present_exact"
"Ras Suder","2","Egypt","Ras Suder","to","Cairo International Airport (CAI) -> Ras Suder || Cairo International Airport (CAI) -> Ras Suder","present_exact"
"Ratchaburi","4","Thailand","Ratchaburi","to","Bangkok Suvarnabhumi Airport (BKK) -> Ratchaburi || Bangkok Suvarnabhumi Airport (BKK) -> Ratchaburi || Bangkok Suvarnabhumi Airport (BKK) -> Ratchaburi","present_exact"
"Ratsada, Mueang, Phuket","7","Thailand","Ratsada, Mueang, Phuket","to","Phuket International Airport (HKT) -> Ratsada, Mueang, Phuket || Phuket International Airport (HKT) -> Ratsada, Mueang, Phuket || Phuket International Airport (HKT) -> Ratsada, Mueang, Phuket","present_exact"
"Rauma","3","Finland","Rauma","to","Helsinki Vantaa airport (HEL) -> Rauma || Helsinki Vantaa airport (HEL) -> Rauma || Helsinki Vantaa airport (HEL) -> Rauma","present_exact"
"Rawai, Mueang, Phuket","6","Thailand","Rawai, Mueang, Phuket","to","Phuket International Airport (HKT) -> Rawai, Mueang, Phuket || Phuket International Airport (HKT) -> Rawai, Mueang, Phuket || Phuket International Airport (HKT) -> Rawai, Mueang, Phuket","present_exact"
"Rayong City","4","Thailand","Rayong City","to","Bangkok Suvarnabhumi Airport (BKK) -> Rayong City || Bangkok Suvarnabhumi Airport (BKK) -> Rayong City || Bangkok Suvarnabhumi Airport (BKK) -> Rayong City","present_exact"
"Reading","4","United Kingdom","Reading","to","London Heathrow Airport (LHR) -> Reading || London Heathrow Airport (LHR) -> Reading || London Heathrow Airport (LHR) -> Reading","present_exact"
"Riga","6","Latvia","Riga","to","Riga airport (RIX) -> Riga || Riga airport (RIX) -> Riga || Riga airport (RIX) -> Riga","present_exact"
"Riga airport (RIX)","6","Latvia","Riga","from","Riga airport (RIX) -> Riga || Riga airport (RIX) -> Riga || Riga airport (RIX) -> Riga","present_loose"
"Riverside","7","United States of America","Riverside","to","Long Beach Airport (LGB) -> Riverside || Long Beach Airport (LGB) -> Riverside || Long Beach Airport (LGB) -> Riverside","present_exact"
"Rome","10","Italy","Rome","to","Rome Fiumicino Airport (FCO) -> Rome || Rome Fiumicino Airport (FCO) -> Rome || Rome Fiumicino Airport (FCO) -> Rome","present_exact"
"Rome Fiumicino Airport (FCO)","5","Italy","Rome","from","Rome Fiumicino Airport (FCO) -> Rome || Rome Fiumicino Airport (FCO) -> Rome || Rome Fiumicino Airport (FCO) -> Rome","present_exact"
"Rome-Ciampino G. B. Pastine Airport (CIA)","5","Italy","Rome","from","Rome-Ciampino G. B. Pastine Airport (CIA) -> Rome || Rome-Ciampino G. B. Pastine Airport (CIA) -> Rome || Rome-Ciampino G. B. Pastine Airport (CIA) -> Rome","present_exact"
"Ronneby Airport (RNB)","2","Sweden","Karlskrona|Kristianstad","from","Ronneby Airport (RNB) -> Karlskrona || Ronneby Airport (RNB) -> Kristianstad","present_exact"
"Roskilde","3","Denmark","Roskilde","to","Copenhagen Kastrup Airport (CPH) -> Roskilde || Copenhagen Kastrup Airport (CPH) -> Roskilde || Copenhagen Kastrup Airport (CPH) -> Roskilde","present_exact"
"Rostov-on-Don","4","Russia","Rostov-on-Don","to","Rostov-on-Don Platov Airport (ROV) -> Rostov-on-Don || Rostov-on-Don Platov Airport (ROV) -> Rostov-on-Don || Rostov-on-Don Platov Airport (ROV) -> Rostov-on-Don","present_exact"
"Rostov-on-Don Platov Airport (ROV)","8","Russia","Azov|Bataysk|Novocherkassk|Rostov-on-Don|Taganrog","from","Rostov-on-Don Platov Airport (ROV) -> Azov || Rostov-on-Don Platov Airport (ROV) -> Bataysk || Rostov-on-Don Platov Airport (ROV) -> Novocherkassk","present_exact"
"Rovaniemen mlk Suutarinkorva","2","Finland","Rovaniemen mlk Suutarinkorva","to","Rovaniemi Airport (RVN) -> Rovaniemen mlk Suutarinkorva || Rovaniemi Airport (RVN) -> Rovaniemen mlk Suutarinkorva","present_exact"
"Rovaniemi","3","Finland","Rovaniemi","to","Helsinki Vantaa airport (HEL) -> Rovaniemi || Helsinki Vantaa airport (HEL) -> Rovaniemi || Helsinki Vantaa airport (HEL) -> Rovaniemi","present_exact"
"Rovaniemi Airport (RVN)","38","Finland","Hetepuronpolku|Karvonranta|Korkalovaara|Koskenkyla|Lehtojärvi|Luosto|Nivavaara|Pullinranta|Ranua|Rovaniemen mlk Suutarinkorva|Rovaniemi City|Sinettä|Syvasenvaar|Tarvantie|Tutkijantie|Vaarala|Vaattunki Wilderness Resort|Yli-Mommo|Ylipaa","from","Rovaniemi Airport (RVN) -> Hetepuronpolku || Rovaniemi Airport (RVN) -> Hetepuronpolku || Rovaniemi Airport (RVN) -> Karvonranta","present_exact"
"Rovaniemi City","3","Finland|Sweden","Rovaniemi City","to","Rovaniemi Airport (RVN) -> Rovaniemi City || Rovaniemi Airport (RVN) -> Rovaniemi City || Luleå Airport (LLA) -> Rovaniemi City","present_exact"
"Rybachy","4","Russia","Rybachy","to","Kaliningrad Khrabrovo Airport (KGD) -> Rybachy || Kaliningrad Khrabrovo Airport (KGD) -> Rybachy || Kaliningrad Khrabrovo Airport (KGD) -> Rybachy","present_exact"
"Rygge","1","Norway","Rygge","to","Oslo Gardermoen Airport (OSL) -> Rygge","present_exact"
"Sadao Border (to Malaysia), Songkhla","2","Thailand","Sadao Border (to Malaysia), Songkhla","to","Phuket International Airport (HKT) -> Sadao Border (to Malaysia), Songkhla || Phuket International Airport (HKT) -> Sadao Border (to Malaysia), Songkhla","present_exact"
"Safaga","2","Egypt","Safaga","to","Hurghada Airport (HRG) -> Safaga || Hurghada Airport (HRG) -> Safaga","present_exact"
"Saint Catherine","2","Egypt","Saint Catherine","to","Sharm el-Sheikh International Airport (SSH) -> Saint Catherine || Sharm el-Sheikh International Airport (SSH) -> Saint Catherine","present_exact"
"Saint Petersburg","6","Russia","Saint Petersburg","to","Saint-Petersburg Pulkovo Airport (LED) -> Saint Petersburg || Saint-Petersburg Pulkovo Airport (LED) -> Saint Petersburg || Saint-Petersburg Pulkovo Airport (LED) -> Saint Petersburg","present_exact"
"Saint-Petersburg Pulkovo Airport (LED)","55","Russia","Gatchina|Kokkorevo|Krasnoe Selo|Kronstadt|Pargolovo|Pushkin|Saint Petersburg|Vsevolozhsk|Vyborg","from","Saint-Petersburg Pulkovo Airport (LED) -> Gatchina || Saint-Petersburg Pulkovo Airport (LED) -> Gatchina || Saint-Petersburg Pulkovo Airport (LED) -> Gatchina","present_exact"
"Saiyoke","2","Thailand","Saiyoke","to","Bangkok Suvarnabhumi Airport (BKK) -> Saiyoke || Bangkok Suvarnabhumi Airport (BKK) -> Saiyoke","present_exact"
"Sakhu, Phuket","10","Thailand","Sakhu, Phuket","to","Krabi International Airport (KBV) -> Sakhu, Phuket || Krabi International Airport (KBV) -> Sakhu, Phuket || Phuket International Airport (HKT) -> Sakhu, Phuket","present_exact"
"Salt city","6","Jordan","Salt city","to","Amman Civil Airport (Marka) (ADJ) -> Salt city || Amman Civil Airport (Marka) (ADJ) -> Salt city || Amman Civil Airport (Marka) (ADJ) -> Salt city","present_exact"
"Saltsjöbaden locality","2","Sweden","Saltsjöbaden locality","to","Stockholm Arlanda Airport (ARN) -> Saltsjöbaden locality || Stockholm Arlanda Airport (ARN) -> Saltsjöbaden locality","present_exact"
"Samara","7","Russia","Samara","to","Samara Kurumoch International Airport (KUF) -> Samara || Samara Kurumoch International Airport (KUF) -> Samara || Samara Kurumoch International Airport (KUF) -> Samara","present_exact"
"Samara Kurumoch International Airport (KUF)","14","Russia","Kazan|Samara|Tolyatti","from","Samara Kurumoch International Airport (KUF) -> Kazan || Samara Kurumoch International Airport (KUF) -> Kazan || Samara Kurumoch International Airport (KUF) -> Samara","present_exact"
"Samet Nang She viewpoint, Phang Nga","2","Thailand","Samet Nang She viewpoint, Phang Nga","to","Phuket International Airport (HKT) -> Samet Nang She viewpoint, Phang Nga || Phuket International Airport (HKT) -> Samet Nang She viewpoint, Phang Nga","present_exact"
"Samoeng district","2","Thailand","Samoeng district","to","Chiang Mai International Airport (CNX) -> Samoeng district || Chiang Mai International Airport (CNX) -> Samoeng district","present_exact"
"Samui International Airport (USM)","78","Thailand","Anantara Bophut Koh Samui Resort|Angthong district|Bang Por|Bangrak Beach|Bangrak Pier|Big Buddha|Bophut Beach|Chaweng, Samui, Thailand|Choengmom beach and gardens|Conrad Hotel Samui|Don Sak Pier, Surat Thani|Element Boutique|Hua Thanon, Samui|Koh Matsum (Including boat transfer) Thailand|Koh Phangan (Closest Pier to Embark) Thailand|Koh Samui (Island)|Koh Samui - Mae Nam Port(Surat Thani )|Laem Set, Koh Samui, Surat Thani|Lamai Thailand|Lipa-Noi|Mae Nam Ko Samui Thailand|Nathon-Lipa Thailand|Samui International Airport (USM)|Samui Pier Thailand|Taling Ngam Thailand","from|to","Samui International Airport (USM) -> Anantara Bophut Koh Samui Resort || Samui International Airport (USM) -> Angthong district || Samui International Airport (USM) -> Angthong district","present_exact"
"Samui Pier Thailand","3","Thailand","Samui Pier Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Samui Pier Thailand || Samui International Airport (USM) -> Samui Pier Thailand || Samui International Airport (USM) -> Samui Pier Thailand","present_exact"
"San Bernardino","21","United States of America","San Bernardino","to","John Wayne Airport (SNA) -> San Bernardino || John Wayne Airport (SNA) -> San Bernardino || John Wayne Airport (SNA) -> San Bernardino","present_exact"
"San Clemente","7","United States of America","San Clemente","to","John Wayne Airport (SNA) -> San Clemente || John Wayne Airport (SNA) -> San Clemente || John Wayne Airport (SNA) -> San Clemente","present_exact"
"San Clemente+Mission Viejo+Lake Forest","7","United States of America","San Clemente+Mission Viejo+Lake Forest","to","Long Beach Airport (LGB) -> San Clemente+Mission Viejo+Lake Forest || Long Beach Airport (LGB) -> San Clemente+Mission Viejo+Lake Forest || Long Beach Airport (LGB) -> San Clemente+Mission Viejo+Lake Forest","present_exact"
"San Diego","17","United States of America","Los Angeles|San Diego","to","Los Angeles Airport (LAX) -> San Diego || Los Angeles Airport (LAX) -> San Diego || Los Angeles Airport (LAX) -> San Diego","present_exact"
"San Diego (0-19 miles)","4","United States of America","San Diego (0-19 miles)","to","San Diego International Airport (SAN) -> San Diego (0-19 miles) || San Diego International Airport (SAN) -> San Diego (0-19 miles) || San Diego International Airport (SAN) -> San Diego (0-19 miles)","excluded_not_needed"
"San Diego (20-39 miles)","4","United States of America","San Diego (20-39 miles)","to","San Diego International Airport (SAN) -> San Diego (20-39 miles) || San Diego International Airport (SAN) -> San Diego (20-39 miles) || San Diego International Airport (SAN) -> San Diego (20-39 miles)","excluded_not_needed"
"San Diego (40-59 miles)","4","United States of America","San Diego (40-59 miles)","to","San Diego International Airport (SAN) -> San Diego (40-59 miles) || San Diego International Airport (SAN) -> San Diego (40-59 miles) || San Diego International Airport (SAN) -> San Diego (40-59 miles)","excluded_not_needed"
"San Diego (60-79 miles)","4","United States of America","San Diego (60-79 miles)","to","San Diego International Airport (SAN) -> San Diego (60-79 miles) || San Diego International Airport (SAN) -> San Diego (60-79 miles) || San Diego International Airport (SAN) -> San Diego (60-79 miles)","present_exact"
"San Diego International Airport (SAN)","16","United States of America","San Diego (0-19 miles)|San Diego (20-39 miles)|San Diego (40-59 miles)|San Diego (60-79 miles)","from","San Diego International Airport (SAN) -> San Diego (0-19 miles) || San Diego International Airport (SAN) -> San Diego (0-19 miles) || San Diego International Airport (SAN) -> San Diego (0-19 miles)","present_exact"
"San Fernando","21","United States of America","San Fernando","to","John Wayne Airport (SNA) -> San Fernando || John Wayne Airport (SNA) -> San Fernando || John Wayne Airport (SNA) -> San Fernando","present_exact"
"San Francisco","14","United States of America","San Francisco","to","John Wayne Airport (SNA) -> San Francisco || John Wayne Airport (SNA) -> San Francisco || John Wayne Airport (SNA) -> San Francisco","present_exact"
"San Marcos+Rancho Santa Fe+Escondido","14","United States of America","San Marcos+Rancho Santa Fe+Escondido","to","John Wayne Airport (SNA) -> San Marcos+Rancho Santa Fe+Escondido || John Wayne Airport (SNA) -> San Marcos+Rancho Santa Fe+Escondido || John Wayne Airport (SNA) -> San Marcos+Rancho Santa Fe+Escondido","present_exact"
"Sandvika","1","Norway","Sandvika","to","Oslo Gardermoen Airport (OSL) -> Sandvika","present_exact"
"Sangklaburi District Provincial","6","Thailand","Sangklaburi District Provincial","to","Bangkok Don Muang Airport (DMK) -> Sangklaburi District Provincial || Bangkok Don Muang Airport (DMK) -> Sangklaburi District Provincial || Bangkok Suvarnabhumi Airport (BKK) -> Sangklaburi District Provincial","present_exact"
"Santa Ana+Irvine+Huntington Beach","7","United States of America","Santa Ana+Irvine+Huntington Beach","to","Long Beach Airport (LGB) -> Santa Ana+Irvine+Huntington Beach || Long Beach Airport (LGB) -> Santa Ana+Irvine+Huntington Beach || Long Beach Airport (LGB) -> Santa Ana+Irvine+Huntington Beach","present_exact"
"Santa Barbara+Carpinteria","14","United States of America","Santa Barbara+Carpinteria","to","John Wayne Airport (SNA) -> Santa Barbara+Carpinteria || John Wayne Airport (SNA) -> Santa Barbara+Carpinteria || John Wayne Airport (SNA) -> Santa Barbara+Carpinteria","present_exact"
"Santa Clarita","14","United States of America","Santa Clarita","to","John Wayne Airport (SNA) -> Santa Clarita || John Wayne Airport (SNA) -> Santa Clarita || John Wayne Airport (SNA) -> Santa Clarita","present_exact"
"Santa Monica","24","United States of America","Los Angeles|Santa Monica","to","Los Angeles Airport (LAX) -> Santa Monica || Los Angeles Airport (LAX) -> Santa Monica || Los Angeles Airport (LAX) -> Santa Monica","present_exact"
"Santa Monica Airport (SMO)","5","United States of America","Los Angeles Downtown","from","Santa Monica Airport (SMO) -> Los Angeles Downtown || Santa Monica Airport (SMO) -> Los Angeles Downtown || Santa Monica Airport (SMO) -> Los Angeles Downtown","present_exact"
"Saransk","4","Russia","Saransk","to","Saransk Airport (SKX) -> Saransk || Saransk Airport (SKX) -> Saransk || Saransk Airport (SKX) -> Saransk","present_exact"
"Saransk Airport (SKX)","4","Russia","Saransk","from","Saransk Airport (SKX) -> Saransk || Saransk Airport (SKX) -> Saransk || Saransk Airport (SKX) -> Saransk","present_exact"
"Saratov","6","Russia","Saratov","to","Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov","present_exact"
"Saratov Tsentralny Airport (RTW)","6","Russia","Saratov","from","Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov","present_exact"
"Sathorn district, Bangkok","6","Thailand","Sathorn district, Bangkok","to","Bangkok Don Muang Airport (DMK) -> Sathorn district, Bangkok || Bangkok Don Muang Airport (DMK) -> Sathorn district, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Sathorn district, Bangkok","present_exact"
"Sattahip District","4","Thailand","Sattahip District","to","Bangkok Suvarnabhumi Airport (BKK) -> Sattahip District || Bangkok Suvarnabhumi Airport (BKK) -> Sattahip District || Bangkok Suvarnabhumi Airport (BKK) -> Sattahip District","present_exact"
"Satun","2","Thailand","Satun","to","Phuket International Airport (HKT) -> Satun || Phuket International Airport (HKT) -> Satun","present_exact"
"Savonlinna","3","Finland","Savonlinna","to","Helsinki Vantaa airport (HEL) -> Savonlinna || Helsinki Vantaa airport (HEL) -> Savonlinna || Helsinki Vantaa airport (HEL) -> Savonlinna","present_exact"
"Seinäjoki","3","Finland","Seinäjoki","to","Helsinki Vantaa airport (HEL) -> Seinäjoki || Helsinki Vantaa airport (HEL) -> Seinäjoki || Helsinki Vantaa airport (HEL) -> Seinäjoki","present_exact"
"Selimiye (Marmaris)","3","Turkey","Selimiye (Marmaris)","to","Dalaman Airport (DLM) -> Selimiye (Marmaris) || Dalaman Airport (DLM) -> Selimiye (Marmaris) || Dalaman Airport (DLM) -> Selimiye (Marmaris)","present_exact"
"Seogwipo City Center","1","South Korea","Seogwipo City Center","to","Jeju Airport (CJU) -> Seogwipo City Center","present_exact"
"Seoul city","9","South Korea","Seoul city","to","Seoul Gimpo Airport (GMP) -> Seoul city || Seoul Gimpo Airport (GMP) -> Seoul city || Seoul Gimpo Airport (GMP) -> Seoul city","present_exact"
"Seoul Gimpo Airport (GMP)","104","South Korea","Ansan|Dongducheon|Gimpo|Goyang|Gunpo|Guri|Gwacheon|Gwangmyeong|Hanam|Incheon|Namyangju|Osan|Paju|Pyungtaek|Seoul Gimpo Airport (GMP)|Seoul Incheon Airport (ICN)|Seoul city|Siheung|Suwon|Uijeongbu|Yangju","from|to","Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan","present_exact"
"Seoul Incheon Airport (ICN)","104","South Korea","Ansan|Dongducheon|Gimpo|Goyang|Gunpo|Guri|Gwacheon|Gwangmyeong|Hanam|Incheon|Namyangju|Osan|Paju|Pyungtaek|Seoul Gimpo Airport (GMP)|Seoul Incheon Airport (ICN)|Seoul city|Siheung|Suwon|Uijeongbu|Yangju","from|to","Seoul Incheon Airport (ICN) -> Ansan || Seoul Incheon Airport (ICN) -> Ansan || Seoul Incheon Airport (ICN) -> Ansan","present_exact"
"Sevastopol'","5","Russia","Sevastopol'","to","Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol'","present_exact"
"Seville","5","Spain","Seville","to","Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville","present_exact"
"Seville Airport (SVQ)","5","Spain","Seville","from","Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville","present_exact"
"Seychelles","1","Seychelles","Seychelles","to","Seychelles International Airport (SEZ) -> Seychelles","excluded_not_needed"
"Seychelles International Airport (SEZ)","1","Seychelles","Seychelles","from","Seychelles International Airport (SEZ) -> Seychelles","present_exact"
"Shahdag (Quba, Qusar)","3","Azerbaijan","Shahdag (Quba, Qusar)","to","Baku Heydar Aliyev International Airport (GYD) -> Shahdag (Quba, Qusar) || Baku Heydar Aliyev International Airport (GYD) -> Shahdag (Quba, Qusar) || Baku Heydar Aliyev International Airport (GYD) -> Shahdag (Quba, Qusar)","present_exact"
"Shanghai city center","10","China","Shanghai city center","to","Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center","present_exact"
"Shanghai Hongqiao International Airport (SHA)","4","China","Shanghai city center","from","Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center","present_exact"
"Shanghai Pudong International Airport (PVG)","6","China","Shanghai city center","from","Shanghai Pudong International Airport (PVG) -> Shanghai city center || Shanghai Pudong International Airport (PVG) -> Shanghai city center || Shanghai Pudong International Airport (PVG) -> Shanghai city center","present_exact"
"Sharjah","14","United Arab Emirates","Sharjah","to","Abu Dhabi International Airport (AUH) -> Sharjah || Abu Dhabi International Airport (AUH) -> Sharjah || Abu Dhabi International Airport (AUH) -> Sharjah","present_exact"
"Sharjah Airport (SHJ)","54","United Arab Emirates","Abu Dhabi|Ajman|Al Barsha, Dubai|Al Marjan Island|Bur Dubai Area|Deira Dubai|Downtown Dubai|Dubai Al Maktoum Airport (DWC)|Dubai Marina|Dubai international Airport (DXB)|Fujairah|Kalba / Qalba|Khor Fakkan|Mina Jebel Ali, Dubai|Palm Jumeirah|Ras Al Khaimah|Sharjah|Umm Al Quwain","from","Sharjah Airport (SHJ) -> Abu Dhabi || Sharjah Airport (SHJ) -> Abu Dhabi || Sharjah Airport (SHJ) -> Abu Dhabi","present_exact"
"Sharm El Sheikh","4","Egypt","Sharm El Sheikh","to","Cairo International Airport (CAI) -> Sharm El Sheikh || Cairo International Airport (CAI) -> Sharm El Sheikh || Sharm el-Sheikh International Airport (SSH) -> Sharm El Sheikh","present_exact"
"Sharm el-Sheikh International Airport (SSH)","13","Egypt","Dahab|FUN&SUN FAMILY Albatros Palace|Grand Rotana Resort|Nabq Bay|Saint Catherine|Sharm El Sheikh|Taba","from","Sharm el-Sheikh International Airport (SSH) -> Dahab || Sharm el-Sheikh International Airport (SSH) -> Dahab || Sharm el-Sheikh International Airport (SSH) -> FUN&SUN FAMILY Albatros Palace","present_exact"
"Sheikh Hussein Bridge","6","Jordan","Sheikh Hussein Bridge","to","Amman Civil Airport (Marka) (ADJ) -> Sheikh Hussein Bridge || Amman Civil Airport (Marka) (ADJ) -> Sheikh Hussein Bridge || Amman Civil Airport (Marka) (ADJ) -> Sheikh Hussein Bridge","present_exact"
"Shekvetili","1","Georgia","Shekvetili","to","Alexander Kartveli Batumi Airport (BUS) -> Shekvetili","present_exact"
"Shenzhen Bao'an International Airport (SZX)","4","China","Shenzhen city center","from","Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center","present_exact"
"Shenzhen city center","4","China","Shenzhen city center","to","Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center","present_exact"
"Sheraton Moscow Sheremetyevo Airport","1","Russia","Sheraton Moscow Sheremetyevo Airport","to","Moscow Sheremetyevo International Airport (SVO) -> Sheraton Moscow Sheremetyevo Airport","present_exact"
"Si Sunthon, Phuket","2","Thailand","Si Sunthon, Phuket","to","Phuket International Airport (HKT) -> Si Sunthon, Phuket || Phuket International Airport (HKT) -> Si Sunthon, Phuket","present_exact"
"Side district","4","Turkey","Side district","to","Antalya Airport (AYT) -> Side district || Antalya Airport (AYT) -> Side district || Antalya Airport (AYT) -> Side district","present_exact"
"Siggerud","1","Norway","Siggerud","to","Oslo Gardermoen Airport (OSL) -> Siggerud","present_exact"
"Signagi","1","Georgia","Signagi","to","Tbilisi Shota Rustaveli Airport (TBS) -> Signagi","present_exact"
"Sigtuna town","2","Sweden","Sigtuna town","to","Stockholm Arlanda Airport (ARN) -> Sigtuna town || Stockholm Arlanda Airport (ARN) -> Sigtuna town","present_exact"
"Siheung","10","South Korea","Siheung","to","Seoul Gimpo Airport (GMP) -> Siheung || Seoul Gimpo Airport (GMP) -> Siheung || Seoul Gimpo Airport (GMP) -> Siheung","present_exact"
"Sikao, Sikao District, Trang","2","Thailand","Sikao, Sikao District, Trang","to","Phuket International Airport (HKT) -> Sikao, Sikao District, Trang || Phuket International Airport (HKT) -> Sikao, Sikao District, Trang","present_exact"
"Silicon Oasis / International City Dubai","7","United Arab Emirates","Silicon Oasis / International City Dubai","to","Dubai international Airport (DXB) -> Silicon Oasis / International City Dubai || Dubai international Airport (DXB) -> Silicon Oasis / International City Dubai || Dubai international Airport (DXB) -> Silicon Oasis / International City Dubai","present_exact"
"Silkeborg","1","Denmark","Aarhus","to","Billund Airport (BLL) -> Silkeborg","present_exact"
"Silom, Bangkok","4","Thailand","Silom, Bangkok","to","Bangkok Don Muang Airport (DMK) -> Silom, Bangkok || Bangkok Don Muang Airport (DMK) -> Silom, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Silom, Bangkok","present_exact"
"Simferopol'","6","Russia","Simferopol'","to","Simferopol' Airport (SIP) -> Simferopol' || Simferopol' Airport (SIP) -> Simferopol' || Simferopol' Airport (SIP) -> Simferopol'","present_exact"
"Simferopol' Airport (SIP)","11","Russia","Sevastopol'|Simferopol'","from","Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol'","present_exact"
"Sinettä","2","Finland","Sinettä","to","Rovaniemi Airport (RVN) -> Sinettä || Rovaniemi Airport (RVN) -> Sinettä","present_exact"
"Singapore Changi Airport (SIN)","18","Singapore","Singapore Cruise Terminal|Singapore East|Singapore North|Singapore Sentosa Island|Singapore West|Singapore city center","from","Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal","present_exact"
"Singapore city center","3","Singapore","Singapore city center","to","Singapore Changi Airport (SIN) -> Singapore city center || Singapore Changi Airport (SIN) -> Singapore city center || Singapore Changi Airport (SIN) -> Singapore city center","present_exact"
"Singapore Cruise Terminal","3","Singapore","Singapore Cruise Terminal","to","Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal","present_exact"
"Singapore East","3","Singapore","Singapore East","to","Singapore Changi Airport (SIN) -> Singapore East || Singapore Changi Airport (SIN) -> Singapore East || Singapore Changi Airport (SIN) -> Singapore East","present_exact"
"Singapore North","3","Singapore","Singapore North","to","Singapore Changi Airport (SIN) -> Singapore North || Singapore Changi Airport (SIN) -> Singapore North || Singapore Changi Airport (SIN) -> Singapore North","present_exact"
"Singapore Sentosa Island","3","Singapore","Singapore Sentosa Island","to","Singapore Changi Airport (SIN) -> Singapore Sentosa Island || Singapore Changi Airport (SIN) -> Singapore Sentosa Island || Singapore Changi Airport (SIN) -> Singapore Sentosa Island","present_exact"
"Singapore West","3","Singapore","Singapore West","to","Singapore Changi Airport (SIN) -> Singapore West || Singapore Changi Airport (SIN) -> Singapore West || Singapore Changi Airport (SIN) -> Singapore West","present_exact"
"Skarpnäck district, Stockholm","2","Sweden","Skarpnäck district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Skarpnäck district, Stockholm || Stockholm Arlanda Airport (ARN) -> Skarpnäck district, Stockholm","present_exact"
"Skellefteå","2","Sweden","Skellefteå","to","Luleå Airport (LLA) -> Skellefteå || Skellefteå Airport (SFT) -> Skellefteå","present_exact"
"Skellefteå Airport (SFT)","1","Sweden","Skellefteå","from","Skellefteå Airport (SFT) -> Skellefteå","present_exact"
"Ski, Norway","1","Norway","Ski, Norway","to","Oslo Gardermoen Airport (OSL) -> Ski, Norway","present_exact"
"Skjetten","1","Norway","Skjetten","to","Oslo Gardermoen Airport (OSL) -> Skjetten","present_exact"
"Skogås locality","2","Sweden","Skogås locality","to","Stockholm Arlanda Airport (ARN) -> Skogås locality || Stockholm Arlanda Airport (ARN) -> Skogås locality","present_exact"
"Södertälje city","2","Sweden","Södertälje city","to","Stockholm Arlanda Airport (ARN) -> Södertälje city || Stockholm Arlanda Airport (ARN) -> Södertälje city","present_exact"
"Sofiemyr","1","Norway","Sofiemyr","to","Oslo Gardermoen Airport (OSL) -> Sofiemyr","present_exact"
"Sollentuna municipality","2","Sweden","Sollentuna municipality","to","Stockholm Arlanda Airport (ARN) -> Sollentuna municipality || Stockholm Arlanda Airport (ARN) -> Sollentuna municipality","present_exact"
"Solna municipality","2","Sweden","Solna municipality","to","Stockholm Arlanda Airport (ARN) -> Solna municipality || Stockholm Arlanda Airport (ARN) -> Solna municipality","present_exact"
"Soma Bay","2","Egypt","Soma Bay","to","Hurghada Airport (HRG) -> Soma Bay || Hurghada Airport (HRG) -> Soma Bay","present_exact"
