"name","count","countries","cities","roles","samples","etoStatus"
"Arjeplog","1","Sweden","Arjeplog","to","Luleå Airport (LLA) -> Arjeplog","present_exact"
"Arkhangelsk","2","Russia","Arkhangelsk","to","Arkhangelsk International Airport (ARH) -> Arkhangelsk || Arkhangelsk International Airport (ARH) -> Arkhangelsk","present_exact"
"Arkhangelsk International Airport (ARH)","2","Russia","Arkhangelsk","from","Arkhangelsk International Airport (ARH) -> Arkhangelsk || Arkhangelsk International Airport (ARH) -> Arkhangelsk","present_exact"
"Armenochori","1","Cyprus","Armenochori","to","Larnaca Airport (LCA) -> Armenochori","present_exact"
"Arosa","5","Switzerland","Arosa","to","Zurich Airport (ZRH) -> Arosa || Zurich Airport (ZRH) -> Arosa || Zurich Airport (ZRH) -> Arosa","present_exact"
"Arrecife","2","Spain","Arrecife","to","Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife || Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife","present_exact"
"Årsta district, Stockholm","2","Sweden","Årsta district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Årsta district, Stockholm || Stockholm Arlanda Airport (ARN) -> Årsta district, Stockholm","present_exact"
"Ås","1","Norway","Ås","to","Oslo Gardermoen Airport (OSL) -> Ås","present_exact"
"Ascona","5","Switzerland","Ascona","to","Zurich Airport (ZRH) -> Ascona || Zurich Airport (ZRH) -> Ascona || Zurich Airport (ZRH) -> Ascona","present_exact"
"Ashgabat","2","Turkmenistan","Ashgabat","to","Ashgabat International Airport (ASB) -> Ashgabat || Ashgabat International Airport (ASB) -> Ashgabat","present_exact"
"Ashgabat International Airport (ASB)","2","Turkmenistan","Ashgabat","from","Ashgabat International Airport (ASB) -> Ashgabat || Ashgabat International Airport (ASB) -> Ashgabat","present_exact"
"Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar)","10","Turkey","Istanbul","from|to","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Airport (IST) || Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar) -> Istanbul Sabiha Gokcen Airport (SAW)","present_exact"
"Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport)","8","Turkey","Istanbul","from|to","Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Airport (IST) || Asian Side Outskirts (Maltepe, Kartal, Kurtkoy, Sabiha Gokcen Airport) -> Istanbul Sabiha Gokcen Airport (SAW)","present_exact"
"Asker town","1","Norway","Asker town","to","Oslo Gardermoen Airport (OSL) -> Asker town","present_exact"
"Asni","7","Morocco","Asni","to","Marrakesh Menara Airport (RAK) -> Asni || Marrakesh Menara Airport (RAK) -> Asni || Marrakesh Menara Airport (RAK) -> Asni","present_exact"
"Asomatos","1","Cyprus","Asomatos","to","Larnaca Airport (LCA) -> Asomatos","present_exact"
"Astrakhan'","2","Russia","Astrakhan'","to","Astrakhan' Narimanovo Airport (ASF) -> Astrakhan' || Astrakhan' Narimanovo Airport (ASF) -> Astrakhan'","present_exact"
"Astrakhan' Narimanovo Airport (ASF)","2","Russia","Astrakhan'","from","Astrakhan' Narimanovo Airport (ASF) -> Astrakhan' || Astrakhan' Narimanovo Airport (ASF) -> Astrakhan'","present_exact"
"Atlanta","3","United States of America","Atlanta","to","Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta || Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta || Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta","present_exact"
"Avakas Bay","1","Cyprus","Avakas Bay","to","Larnaca Airport (LCA) -> Avakas Bay","present_exact"
"Avdimou","1","Cyprus","Avdimou","to","Larnaca Airport (LCA) -> Avdimou","present_exact"
"Avgorou","1","Cyprus","Avgorou","to","Larnaca Airport (LCA) -> Avgorou","present_exact"
"Avsallar","5","Turkey","Avsallar","to","Antalya Airport (AYT) -> Avsallar || Antalya Airport (AYT) -> Avsallar || Antalya Airport (AYT) -> Avsallar","present_exact"
"Ayia Napa","2","Cyprus","Ayia Napa","to","Larnaca Airport (LCA) -> Ayia Napa || Paphos Airport (PFO) -> Ayia Napa","present_exact"
"Ayutthaya Provice","4","Thailand","Ayutthaya Provice","to","Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice","present_exact"
"Azov","1","Russia","Azov","to","Rostov-on-Don Platov Airport (ROV) -> Azov","present_exact"
"Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand","2","Thailand","Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand","to","Krabi International Airport (KBV) -> Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand || Krabi International Airport (KBV) -> Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand","present_exact"
"Bab Al Shams Desert Resor, Dubai","8","United Arab Emirates","Bab Al Shams Desert Resor, Dubai","to","Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai","excluded_not_needed"
"Bærum","1","Norway","Bærum","to","Oslo Gardermoen Airport (OSL) -> Bærum","present_exact"
"Baikal International Airport (UUD)","2","Russia","Ulan-Ude","from","Baikal International Airport (UUD) -> Ulan-Ude || Baikal International Airport (UUD) -> Ulan-Ude","present_exact"
"Bakersfield","14","United States of America","Bakersfield","to","John Wayne Airport (SNA) -> Bakersfield || John Wayne Airport (SNA) -> Bakersfield || John Wayne Airport (SNA) -> Bakersfield","present_exact"
"Baku","7","Azerbaijan","Baku","to","Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku","present_exact"
