"id","country","city","routeFrom","routeTo","vehicleType","fixedPrice","currency","source","notes"
"cmm3d3nz3002jk8ppcxryxogh","China","Shanghai city center","Shanghai Pudong International Airport (PVG)","Shanghai city center","First class car","209","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002lk8ppyztcq2up","China","Shanghai city center","Shanghai Pudong International Airport (PVG)","Shanghai city center","Standard Minibus 16pax","144","EUR","base_price_xlsx","pax:16"
"cmm3d3nz3002kk8ppa5b91e9l","China","Shanghai city center","Shanghai Pudong International Airport (PVG)","Shanghai city center","Standard class car","49","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002mk8pphyk96dbl","China","Shanghai city center","Shanghai Pudong International Airport (PVG)","Shanghai city center","Standard minivan 6 pax","64","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3002nk8pp52bdrnyh","China","Shenzhen city center","Shenzhen Bao'an International Airport (SZX)","Shenzhen city center","Business class car","55","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002ok8ppqgmf4tv4","China","Shenzhen city center","Shenzhen Bao'an International Airport (SZX)","Shenzhen city center","Businessvan 6 pax","80","EUR","base_price_xlsx","pax:6"
"cmm3d3nz4002pk8ppjjp524kv","China","Shenzhen city center","Shenzhen Bao'an International Airport (SZX)","Shenzhen city center","Standard class car","45","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002qk8pp5ihilva8","China","Shenzhen city center","Shenzhen Bao'an International Airport (SZX)","Shenzhen city center","Standard minivan 6 pax","69","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3001vk8ppcnsxzfu0","China","Tai Po","Hong Kong Airport (HKG)","Tai Po","Business class car","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3001wk8pp0gx7nh19","China","Tai Po","Hong Kong Airport (HKG)","Tai Po","Businessvan 6 pax","130","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3001xk8pp57rwzcwa","China","Tai Po","Hong Kong Airport (HKG)","Tai Po","Standard class car","91","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3001yk8ppnmsw1wwm","China","Tai Po","Hong Kong Airport (HKG)","Tai Po","Standard minivan 6 pax","114","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3001zk8ppcrj0vzm3","China","Tuen Mun","Hong Kong Airport (HKG)","Tuen Mun","Business class car","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30020k8ppfq3l9q9q","China","Tuen Mun","Hong Kong Airport (HKG)","Tuen Mun","Businessvan 6 pax","130","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30021k8pp78856zl3","China","Tuen Mun","Hong Kong Airport (HKG)","Tuen Mun","Standard class car","91","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30022k8ppmf64kon2","China","Tuen Mun","Hong Kong Airport (HKG)","Tuen Mun","Standard minivan 6 pax","114","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30023k8ppy09thd4p","China","Wan Chai district, Hong Kong","Hong Kong Airport (HKG)","Wan Chai district, Hong Kong","Business class car","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30024k8ppwdjmu51j","China","Wan Chai district, Hong Kong","Hong Kong Airport (HKG)","Wan Chai district, Hong Kong","Standard minivan 6 pax","114","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30025k8pphh9nj8bb","China","Wong Tai Sin","Hong Kong Airport (HKG)","Wong Tai Sin","Business class car","68","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30026k8ppbrbn8d3b","China","Wong Tai Sin","Hong Kong Airport (HKG)","Wong Tai Sin","Businessvan 6 pax","82","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30027k8ppiwuz5eg1","China","Wong Tai Sin","Hong Kong Airport (HKG)","Wong Tai Sin","Standard class car","66","EUR","base_price_xlsx","pax:3"
"cmm3d3nz30028k8ppa4th5nfr","China","Wong Tai Sin","Hong Kong Airport (HKG)","Wong Tai Sin","Standard minivan 6 pax","70","EUR","base_price_xlsx","pax:6"
"cmm3d3nz30029k8pph7ur6f74","China","Yuen Long","Hong Kong Airport (HKG)","Yuen Long","Business class car","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002ak8ppzf4buf6g","China","Yuen Long","Hong Kong Airport (HKG)","Yuen Long","Businessvan 6 pax","130","EUR","base_price_xlsx","pax:6"
"cmm3d3nz3002bk8ppvv9yeaun","China","Yuen Long","Hong Kong Airport (HKG)","Yuen Long","Standard class car","91","EUR","base_price_xlsx","pax:3"
"cmm3d3nz3002ck8ppvxtiscu3","China","Yuen Long","Hong Kong Airport (HKG)","Yuen Long","Standard minivan 6 pax","114","EUR","base_price_xlsx","pax:6"
"cmm3d3nz4003zk8pppud58q7q","Cyprus","Agios Mamas","Larnaca Airport (LCA)","Agios Mamas","Standard class car","168","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004lk8ppvp3qj9rc","Cyprus","Agraka","Larnaca Airport (LCA)","Agraka","Standard class car","264","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40036k8ppg9hw3xwy","Cyprus","Agros","Larnaca Airport (LCA)","Agros","Standard class car","174","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40043k8ppeo6fxgjg","Cyprus","Akaki","Larnaca Airport (LCA)","Akaki","Standard class car","120","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003gk8pptae3g4bn","Cyprus","Akrotiri","Larnaca Airport (LCA)","Akrotiri","Standard class car","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003xk8ppn84u836s","Cyprus","Alassa","Larnaca Airport (LCA)","Alassa","Standard class car","156","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003kk8ppspnth1go","Cyprus","Anogyra","Larnaca Airport (LCA)","Anogyra","Standard class car","168","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003tk8ppn38kw4z9","Cyprus","Arakapas","Larnaca Airport (LCA)","Arakapas","Standard class car","120","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003qk8ppjsjjnumz","Cyprus","Armenochori","Larnaca Airport (LCA)","Armenochori","Standard class car","114","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003dk8ppdaqegmnb","Cyprus","Asomatos","Larnaca Airport (LCA)","Asomatos","Standard class car","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004gk8pp0870k9pj","Cyprus","Avakas Bay","Larnaca Airport (LCA)","Avakas Bay","Standard class car","276","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003jk8pppm1cxfx3","Cyprus","Avdimou","Larnaca Airport (LCA)","Avdimou","Standard class car","144","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002tk8ppsx7p6ieu","Cyprus","Avgorou","Larnaca Airport (LCA)","Avgorou","Standard class car","84","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40031k8pp5x17287a","Cyprus","Ayia Napa","Larnaca Airport (LCA)","Ayia Napa","Standard class car","84","EUR","base_price_xlsx","pax:3"
"cmm3d3nz50053k8pp5q90m24v","Cyprus","Ayia Napa","Paphos Airport (PFO)","Ayia Napa","Standard class car","228","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004hk8pp6yvwrshr","Cyprus","Chloraka","Larnaca Airport (LCA)","Chloraka","Standard class car","192","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004qk8ppl0lwciec","Cyprus","Chlorakas","Paphos Airport (PFO)","Chlorakas","Standard class car","48","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003bk8ppq8zitsez","Cyprus","City of Dream","Larnaca Airport (LCA)","City of Dream","Standard class car","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40041k8ppvhkv80fx","Cyprus","Dali","Larnaca Airport (LCA)","Dali","Standard class car","66","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002xk8pp41f9hzdl","Cyprus","Derynia","Larnaca Airport (LCA)","Derynia","Standard class car","102","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003sk8pp9uwxg1ym","Cyprus","Dierona","Larnaca Airport (LCA)","Dierona","Standard class car","144","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003fk8pp7kl09rae","Cyprus","Episkopi","Larnaca Airport (LCA)","Episkopi","Standard class car","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003ek8ppi99uozma","Cyprus","Erimi","Larnaca Airport (LCA)","Erimi","Standard class car","108","EUR","base_price_xlsx","pax:3"
